client_id,age,gender,driving_experience,car_model,year_of_manufacture,car_usage,annual_mileage,location,has_caused_accident,num_of_accidents,vehicle_value,risk_level
CL0021,68,Male,44,Subaru Forester,2011,Commercial,32403,Mombasa,Yes,1,3332868,Medium
CL0022,62,Male,38,Nissan Note,2015,PSV,43827,Eldoret,No,0,3970495,Low
CL0023,68,Female,45,Toyota Vitz,2006,Personal,12693,Thika,Yes,1,4527419,Medium
CL0024,37,Female,14,Toyota Premio,2015,Personal,28047,Kakamega,Yes,2,3933977,High
CL0025,56,Male,33,Isuzu NQR,2005,PSV,40080,Kisumu,No,0,2735000,Low
CL0026,58,Male,38,Toyota Prado,2011,Commercial,31959,Thika,No,0,4306618,Low
CL0027,54,Female,36,Toyota Prado,2014,Commercial,10663,Eldoret,Yes,1,1884250,Medium
CL0028,49,Female,31,Toyota Hiace,2021,Personal,49353,Kisumu,Yes,1,3860011,Medium
CL0029,19,Male,0,Toyota Prado,2021,Commercial,11636,Nakuru,No,0,1313168,Low
CL0030,45,Female,22,Subaru Forester,2009,PSV,48623,Nakuru,No,0,769536,Low
CL0031,19,Female,0,Isuzu NQR,2016,Personal,48559,Mombasa,Yes,1,1181669,Medium
CL0032,21,Female,0,Subaru Impreza,2015,Personal,22688,Kakamega,No,0,2241093,Low
CL0033,69,Male,50,Nissan Note,2010,Commercial,33509,Mombasa,No,0,3156138,Low
CL0034,33,Female,15,Subaru Forester,2013,Personal,30666,Eldoret,No,0,4673125,Low
CL0035,20,Female,0,Subaru Forester,2008,PSV,16546,Nakuru,No,0,1410681,Low
CL0036,36,Female,15,Toyota Vitz,2011,Personal,28227,Thika,No,0,571295,Low
CL0037,57,Male,39,Toyota Vitz,2015,PSV,18155,Kakamega,Yes,4,4112600,High
CL0038,48,Female,25,Subaru Impreza,2014,PSV,40306,Eldoret,No,0,647718,Low
CL0039,43,Male,25,Toyota Hiace,2021,Personal,12049,Thika,Yes,2,1186976,High
CL0040,54,Female,34,Toyota Vitz,2013,Personal,17400,Nakuru,No,0,4614639,Low
CL0041,41,Male,18,Mazda Demio,2005,Commercial,22183,Nakuru,No,0,1168234,Low
CL0042,53,Male,30,Nissan Note,2012,PSV,12557,Kakamega,No,0,3421944,Low
CL0043,46,Male,27,Toyota Vitz,2018,Commercial,21969,Nairobi,No,0,2600021,Low
CL0044,58,Female,37,Toyota Hiace,2005,Personal,48467,Nairobi,No,0,4455488,Low
CL0045,65,Female,44,Mazda Demio,2012,Personal,43986,Nairobi,No,0,4801754,Low
CL0046,39,Male,16,Subaru Forester,2010,Personal,13436,Nairobi,No,0,2278226,Low
CL0047,44,Female,24,Subaru Impreza,2006,Commercial,42352,Kakamega,No,0,3643963,Low
CL0048,50,Male,28,Nissan Note,2020,Commercial,47410,Eldoret,No,0,4691423,Low
CL0049,34,Male,13,Mazda Demio,2018,Commercial,46212,Kakamega,No,0,3427109,Low
CL0050,58,Female,36,Toyota Prado,2021,Commercial,10301,Kakamega,No,0,615294,Low
CL0051,50,Male,29,Mazda Demio,2005,PSV,29778,Thika,No,0,1189944,Low
CL0052,20,Female,0,Toyota Hiace,2022,Commercial,17455,Eldoret,No,0,1605534,Low
CL0053,19,Male,0,Toyota Prado,2021,Personal,37751,Nairobi,No,0,998863,Low
CL0054,59,Female,35,Toyota Premio,2007,Commercial,39592,Nakuru,No,0,1297079,Low
CL0055,24,Male,6,Subaru Forester,2008,Personal,14780,Nairobi,No,0,4428083,Low
CL0056,63,Male,40,Toyota Premio,2016,Personal,32386,Nairobi,Yes,3,948982,High
CL0057,19,Male,0,Isuzu NQR,2021,Personal,14777,Nakuru,Yes,1,1938533,Medium
CL0058,60,Male,39,Mazda Demio,2009,Commercial,24599,Eldoret,Yes,1,2485588,Medium
CL0059,61,Male,39,Toyota Vitz,2011,Personal,31699,Thika,Yes,3,1471525,High
CL0060,64,Female,44,Toyota Prado,2012,PSV,17987,Kakamega,No,0,3879569,Low
CL0061,47,Female,27,Toyota Prado,2021,Personal,18311,Nairobi,Yes,1,1923286,Medium
CL0062,43,Female,21,Isuzu NQR,2013,PSV,44699,Eldoret,Yes,3,3720468,High
CL0063,18,Female,0,Toyota Premio,2006,Commercial,17805,Thika,No,0,1029525,Low
CL0064,57,Male,35,Toyota Premio,2005,PSV,13343,Thika,No,0,4199391,Low
CL0065,39,Female,17,Subaru Impreza,2007,Personal,29531,Mombasa,Yes,1,2664367,Medium
CL0066,39,Male,21,Toyota Vitz,2018,PSV,19435,Mombasa,Yes,3,2248014,High
CL0067,69,Female,47,Nissan Note,2016,PSV,45247,Eldoret,No,0,1669748,Low
CL0068,50,Male,27,Subaru Impreza,2009,PSV,36646,Kakamega,No,0,3144489,Low
CL0069,53,Male,34,Toyota Premio,2014,Commercial,33289,Nakuru,No,0,4966271,Low
CL0070,22,Male,0,Subaru Impreza,2008,Personal,37663,Mombasa,No,0,1600567,Low
CL0071,19,Female,1,Toyota Hiace,2016,PSV,16833,Mombasa,Yes,2,3549851,High
CL0072,68,Female,48,Toyota Premio,2009,Personal,48155,Eldoret,No,0,991072,Low
CL0073,27,Male,7,Honda Fit,2016,PSV,30764,Kakamega,Yes,1,4803244,Medium
CL0074,63,Female,44,Mazda Demio,2022,PSV,44850,Thika,Yes,2,3148790,High
CL0075,43,Female,24,Nissan Note,2006,Personal,30358,Kisumu,No,0,4697571,Low
CL0076,67,Male,45,Toyota Premio,2015,Commercial,10412,Thika,No,0,1031831,Low
CL0077,38,Male,16,Isuzu NQR,2008,Personal,48756,Nairobi,No,0,3140328,Low
CL0078,52,Female,34,Toyota Vitz,2007,Commercial,30463,Mombasa,No,0,3663683,Low
CL0079,56,Male,32,Toyota Vitz,2009,Personal,46208,Kakamega,No,0,1175510,Low
CL0080,42,Male,22,Subaru Impreza,2013,Commercial,24397,Nairobi,No,0,2507635,Low
CL0081,39,Male,17,Honda Fit,2021,Personal,23923,Nakuru,No,0,4598502,Low
CL0082,48,Male,27,Subaru Forester,2019,Commercial,18335,Nairobi,No,0,1539458,Low
CL0083,69,Male,49,Honda Fit,2008,Commercial,11167,Nakuru,Yes,2,2886488,High
CL0084,59,Female,40,Mazda Demio,2011,Personal,32925,Thika,Yes,4,3509758,High
CL0085,40,Female,18,Toyota Prado,2015,PSV,34394,Eldoret,No,0,2276203,Low
CL0086,61,Male,43,Mazda Demio,2010,PSV,11542,Kisumu,No,0,1832397,Low
CL0087,59,Male,41,Toyota Premio,2022,PSV,33322,Nakuru,Yes,2,1017313,High
CL0088,55,Male,35,Subaru Impreza,2012,Commercial,23807,Mombasa,Yes,1,1786643,Medium
CL0089,24,Female,6,Nissan Note,2017,PSV,35731,Nairobi,No,0,3115075,Low
CL0090,48,Male,28,Isuzu NQR,2016,PSV,48069,Mombasa,No,0,526790,Low
CL0091,43,Female,23,Toyota Vitz,2011,Commercial,25485,Kisumu,Yes,1,2379490,Medium
CL0092,67,Male,46,Toyota Vitz,2012,PSV,23116,Thika,No,0,2753694,Low
CL0093,18,Male,0,Nissan Note,2017,PSV,24683,Nairobi,Yes,2,2887312,High
CL0094,55,Male,33,Toyota Vitz,2010,Personal,12105,Kisumu,No,0,2371403,Low
CL0095,62,Female,40,Subaru Forester,2019,Personal,30559,Thika,No,0,2034837,Low
CL0096,54,Female,33,Toyota Prado,2007,Commercial,40354,Thika,Yes,4,2873139,High
CL0097,58,Female,40,Toyota Vitz,2018,PSV,13330,Kisumu,No,0,3795887,Low
CL0098,28,Male,7,Subaru Impreza,2014,Commercial,20975,Eldoret,Yes,2,2985195,High
CL0099,25,Female,6,Toyota Premio,2008,Personal,46487,Kisumu,No,0,4275803,Low
CL0100,45,Male,23,Mazda Demio,2013,Personal,14835,Thika,No,0,997562,Low
CL0101,34,Female,16,Toyota Vitz,2005,Commercial,45547,Eldoret,Yes,4,2679996,High
CL0102,23,Male,4,Subaru Impreza,2009,Personal,20136,Thika,Yes,3,1678049,High
CL0103,67,Male,47,Toyota Vitz,2017,Personal,47892,Kakamega,No,0,4693398,Low
CL0104,18,Female,0,Subaru Forester,2019,Commercial,33833,Mombasa,No,0,635230,Low
CL0105,44,Female,26,Nissan Note,2017,Personal,30384,Kisumu,Yes,2,3751298,High
CL0106,65,Female,41,Toyota Premio,2010,PSV,22763,Mombasa,No,0,2222320,Low
CL0107,22,Male,0,Subaru Impreza,2007,PSV,33574,Kakamega,No,0,663273,Low
CL0108,38,Female,15,Subaru Forester,2013,Commercial,48765,Mombasa,Yes,1,4477266,Medium
CL0109,21,Male,0,Nissan Note,2005,Personal,47744,Eldoret,Yes,4,4540479,High
CL0110,25,Male,1,Nissan Note,2006,Commercial,38538,Kisumu,No,0,3158571,Low
CL0111,61,Female,39,Toyota Prado,2021,PSV,29198,Mombasa,No,0,3136694,Low
CL0112,38,Male,15,Honda Fit,2006,Personal,36698,Kakamega,No,0,815826,Low
CL0113,51,Female,28,Toyota Prado,2022,Personal,18017,Kakamega,No,0,1050222,Low
CL0114,51,Female,30,Isuzu NQR,2010,PSV,41703,Kakamega,No,0,1853038,Low
CL0115,59,Male,39,Toyota Prado,2021,Personal,47660,Thika,No,0,3030179,Low
CL0116,34,Male,15,Honda Fit,2021,PSV,29963,Kisumu,Yes,3,1150199,High
CL0117,19,Male,0,Mazda Demio,2015,PSV,22015,Thika,Yes,4,1161614,High
CL0118,33,Female,9,Toyota Vitz,2015,PSV,21637,Nairobi,No,0,2226351,Low
CL0119,57,Male,36,Mazda Demio,2007,Personal,28271,Nakuru,Yes,1,2450367,Medium
CL0120,68,Female,48,Toyota Premio,2009,Personal,31969,Nakuru,Yes,2,2882357,High
CL0121,22,Female,4,Isuzu NQR,2016,Commercial,28777,Kakamega,Yes,3,4746049,High
CL0122,62,Female,42,Honda Fit,2013,Commercial,33321,Nakuru,No,0,3000856,Low
CL0123,39,Male,15,Honda Fit,2015,Commercial,29262,Mombasa,Yes,3,1929551,High
CL0124,53,Female,35,Toyota Premio,2012,Commercial,24178,Eldoret,No,0,4482588,Low
CL0125,64,Male,40,Toyota Vitz,2018,Commercial,38699,Thika,No,0,567661,Low
CL0126,62,Male,43,Isuzu NQR,2018,PSV,25034,Nairobi,Yes,4,2578007,High
CL0127,64,Female,40,Subaru Forester,2018,PSV,48638,Thika,No,0,618033,Low
CL0128,52,Male,32,Mazda Demio,2019,Commercial,18152,Kisumu,Yes,1,1921796,Medium
CL0129,56,Female,38,Isuzu NQR,2021,PSV,39926,Thika,Yes,2,1270173,High
CL0130,30,Female,9,Toyota Vitz,2008,Personal,17561,Mombasa,No,0,967010,Low
CL0131,35,Female,11,Honda Fit,2008,Commercial,36069,Thika,No,0,4380993,Low
CL0132,57,Male,39,Subaru Forester,2016,Commercial,16738,Kisumu,Yes,1,2960072,Medium
CL0133,69,Female,50,Toyota Vitz,2006,Personal,20167,Kisumu,No,0,1362522,Low
CL0134,54,Female,36,Toyota Prado,2005,PSV,37285,Kakamega,Yes,1,3607092,Medium
CL0135,65,Female,44,Toyota Hiace,2015,PSV,20589,Eldoret,No,0,4648887,Low
CL0136,20,Male,0,Toyota Vitz,2012,PSV,14324,Kakamega,No,0,3552766,Low
CL0137,37,Male,16,Subaru Impreza,2015,PSV,32350,Nakuru,No,0,3359653,Low
CL0138,47,Female,24,Subaru Impreza,2006,Personal,10846,Thika,Yes,1,744761,Medium
CL0139,61,Female,39,Toyota Prado,2010,Personal,40105,Mombasa,No,0,564323,Low
CL0140,50,Male,29,Toyota Premio,2021,Personal,49051,Eldoret,No,0,1354016,Low
CL0141,55,Male,33,Toyota Hiace,2015,PSV,42254,Thika,Yes,1,3383427,Medium
CL0142,20,Male,2,Honda Fit,2010,PSV,10009,Eldoret,No,0,4257974,Low
CL0143,19,Male,0,Nissan Note,2012,Commercial,44387,Thika,Yes,2,3654240,High
CL0144,34,Male,16,Subaru Impreza,2015,PSV,37534,Mombasa,No,0,4249783,Low
CL0145,52,Male,29,Toyota Vitz,2021,PSV,27988,Nairobi,No,0,2824797,Low
CL0146,67,Male,44,Subaru Impreza,2015,PSV,15256,Mombasa,Yes,3,1884418,High
CL0147,46,Female,26,Toyota Vitz,2013,Commercial,40523,Nakuru,Yes,1,4425282,Medium
CL0148,22,Female,2,Toyota Hiace,2018,Commercial,30611,Kakamega,No,0,1562636,Low
CL0149,35,Female,11,Toyota Vitz,2012,PSV,38173,Mombasa,No,0,3062469,Low
CL0150,32,Female,14,Toyota Hiace,2021,PSV,44016,Kakamega,No,0,4181262,Low
CL0151,31,Male,9,Mazda Demio,2012,Commercial,36727,Eldoret,Yes,1,2127781,Medium
CL0152,68,Male,49,Mazda Demio,2019,PSV,15788,Nairobi,No,0,1607955,Low
CL0153,44,Female,23,Toyota Prado,2010,PSV,42184,Kisumu,No,0,2399492,Low
CL0154,50,Female,27,Toyota Vitz,2008,Personal,29029,Mombasa,No,0,3677993,Low
CL0155,27,Male,9,Toyota Prado,2010,PSV,33710,Thika,No,0,3717635,Low
CL0156,69,Male,45,Toyota Prado,2012,Personal,24382,Eldoret,No,0,3730019,Low
CL0157,19,Female,0,Isuzu NQR,2008,Commercial,43561,Eldoret,Yes,1,3192755,Medium
CL0158,27,Female,4,Toyota Premio,2010,Personal,22999,Kakamega,No,0,4022905,Low
CL0159,29,Female,10,Honda Fit,2017,Commercial,17783,Thika,Yes,2,625885,High
CL0160,64,Male,43,Subaru Forester,2015,PSV,29915,Eldoret,No,0,3292427,Low
CL0161,21,Male,0,Isuzu NQR,2009,PSV,48727,Kakamega,Yes,1,4694430,Medium
CL0162,45,Female,21,Honda Fit,2013,Commercial,30530,Thika,Yes,2,998716,High
CL0163,39,Male,19,Toyota Hiace,2005,Personal,21053,Kisumu,Yes,1,2502324,Medium
CL0164,53,Female,30,Toyota Hiace,2005,Personal,44622,Eldoret,No,0,4354261,Low
CL0165,57,Female,33,Honda Fit,2019,Commercial,19524,Mombasa,No,0,2654697,Low
CL0166,43,Female,25,Nissan Note,2007,Commercial,35150,Nakuru,No,0,2398739,Low
CL0167,28,Male,5,Honda Fit,2006,Commercial,18070,Nakuru,No,0,2081530,Low
CL0168,34,Male,14,Subaru Impreza,2016,Commercial,23490,Eldoret,Yes,1,1271253,Medium
CL0169,24,Male,3,Toyota Hiace,2010,Personal,29956,Nairobi,Yes,1,3864695,Medium
CL0170,46,Female,22,Honda Fit,2015,PSV,14757,Mombasa,No,0,1795302,Low
CL0171,58,Female,40,Isuzu NQR,2012,PSV,30806,Kakamega,No,0,3378604,Low
CL0172,68,Female,48,Mazda Demio,2021,PSV,30908,Kisumu,No,0,3819260,Low
CL0173,57,Male,37,Toyota Hiace,2022,Personal,43536,Thika,No,0,1088365,Low
CL0174,67,Male,48,Isuzu NQR,2021,Personal,36737,Thika,No,0,4443645,Low
CL0175,21,Male,3,Toyota Premio,2012,Personal,22342,Mombasa,No,0,3948678,Low
CL0176,27,Male,8,Toyota Premio,2018,Commercial,26438,Mombasa,No,0,3595900,Low
CL0177,20,Male,0,Nissan Note,2012,PSV,41480,Thika,No,0,3980130,Low
CL0178,45,Male,21,Subaru Forester,2012,Personal,17970,Eldoret,No,0,4729215,Low
CL0179,49,Female,26,Isuzu NQR,2015,Personal,22175,Nakuru,No,0,3502819,Low
CL0180,38,Male,15,Nissan Note,2020,PSV,16150,Nairobi,Yes,4,2339433,High
CL0181,38,Male,18,Mazda Demio,2020,Commercial,46220,Thika,No,0,4839235,Low
CL0182,35,Female,16,Honda Fit,2005,Commercial,33236,Mombasa,Yes,1,587955,Medium
CL0183,19,Male,0,Subaru Forester,2016,Commercial,24596,Kakamega,No,0,2205215,Low
CL0184,51,Male,29,Subaru Impreza,2016,Commercial,27771,Kakamega,No,0,4608880,Low
CL0185,63,Female,39,Subaru Forester,2021,Personal,38529,Kakamega,No,0,4730258,Low
CL0186,26,Male,7,Isuzu NQR,2017,Commercial,44072,Eldoret,Yes,1,822918,Medium
CL0187,39,Female,19,Subaru Impreza,2018,Commercial,21372,Thika,No,0,4034550,Low
CL0188,23,Female,4,Toyota Premio,2014,PSV,48243,Kakamega,Yes,1,688456,Medium
CL0189,34,Female,12,Subaru Impreza,2010,PSV,22875,Kisumu,Yes,1,1216756,Medium
CL0190,48,Female,25,Nissan Note,2012,PSV,40987,Mombasa,No,0,1726476,Low
CL0191,24,Female,5,Subaru Forester,2017,Commercial,21664,Kakamega,No,0,3943609,Low
CL0192,63,Female,44,Toyota Hiace,2015,PSV,29250,Kakamega,No,0,2618324,Low
CL0193,43,Female,21,Isuzu NQR,2015,Personal,34063,Kakamega,No,0,1770896,Low
CL0194,57,Male,37,Mazda Demio,2006,PSV,33150,Mombasa,No,0,4631479,Low
CL0195,22,Female,4,Subaru Forester,2008,Commercial,18942,Thika,Yes,1,2842035,Medium
CL0196,69,Female,49,Isuzu NQR,2021,Personal,34058,Eldoret,Yes,1,2111754,Medium
CL0197,43,Female,24,Nissan Note,2013,PSV,25048,Mombasa,No,0,3438496,Low
CL0198,60,Female,41,Mazda Demio,2011,PSV,34354,Kisumu,Yes,4,3690914,High
CL0199,47,Female,24,Toyota Vitz,2006,Personal,33051,Nakuru,Yes,4,1116036,High
CL0200,66,Male,44,Subaru Impreza,2021,Personal,46408,Thika,No,0,3477590,Low
CL0201,29,Female,6,Toyota Hiace,2020,Commercial,34791,Kakamega,No,0,2990706,Low
CL0202,38,Male,20,Toyota Hiace,2009,Commercial,12421,Thika,No,0,2702575,Low
CL0203,42,Female,23,Toyota Hiace,2016,Personal,21918,Nairobi,No,0,3998472,Low
CL0204,64,Female,45,Toyota Prado,2020,PSV,14806,Thika,No,0,4313270,Low
CL0205,39,Male,20,Mazda Demio,2011,Commercial,47198,Nakuru,No,0,1164180,Low
CL0206,68,Female,49,Toyota Hiace,2022,Commercial,46062,Nakuru,Yes,4,3568893,High
CL0207,35,Female,15,Honda Fit,2014,Commercial,10614,Nakuru,No,0,2934206,Low
CL0208,61,Female,40,Isuzu NQR,2017,Commercial,23409,Eldoret,No,0,1499554,Low
CL0209,57,Female,38,Mazda Demio,2016,PSV,38535,Mombasa,No,0,2341648,Low
CL0210,39,Male,21,Toyota Prado,2017,PSV,37345,Nairobi,No,0,3235264,Low
CL0211,59,Male,38,Toyota Prado,2006,Personal,18502,Thika,No,0,4817922,Low
CL0212,47,Female,27,Mazda Demio,2017,Commercial,37788,Nakuru,No,0,4577151,Low
CL0213,56,Female,33,Subaru Impreza,2021,Personal,18436,Kisumu,No,0,2872280,Low
CL0214,61,Male,37,Isuzu NQR,2014,Personal,49837,Kisumu,No,0,2359582,Low
CL0215,22,Male,4,Toyota Vitz,2021,Personal,12050,Kisumu,No,0,2707148,Low
CL0216,47,Male,28,Toyota Premio,2008,Commercial,42913,Kisumu,No,0,1770464,Low
CL0217,32,Male,14,Toyota Hiace,2019,Personal,25152,Kakamega,No,0,4817048,Low
CL0218,29,Male,9,Subaru Forester,2009,PSV,42123,Eldoret,No,0,1410775,Low
CL0219,41,Female,21,Toyota Hiace,2017,PSV,24561,Mombasa,No,0,4873656,Low
CL0220,21,Male,1,Mazda Demio,2012,PSV,25934,Nairobi,No,0,931413,Low
CL0221,62,Male,39,Honda Fit,2014,PSV,27320,Nairobi,No,0,4328464,Low
CL0222,23,Male,1,Nissan Note,2009,Personal,18245,Kakamega,Yes,1,2014542,Medium
CL0223,26,Female,6,Subaru Impreza,2021,Personal,36172,Nairobi,No,0,2508954,Low
CL0224,67,Female,48,Subaru Forester,2021,Commercial,34578,Kakamega,Yes,1,2605058,Medium
CL0225,64,Male,46,Toyota Vitz,2013,PSV,47443,Eldoret,No,0,534701,Low
CL0226,28,Female,10,Mazda Demio,2007,Commercial,42284,Eldoret,Yes,3,827304,High
CL0227,29,Female,10,Subaru Forester,2013,Commercial,25585,Nairobi,Yes,1,1574135,Medium
CL0228,55,Male,35,Toyota Prado,2009,Commercial,15295,Mombasa,No,0,4657893,Low
CL0229,65,Female,43,Subaru Impreza,2009,Personal,31452,Mombasa,No,0,4666769,Low
CL0230,49,Male,26,Toyota Vitz,2007,Personal,11591,Mombasa,No,0,511303,Low
CL0231,44,Male,22,Honda Fit,2017,PSV,44080,Thika,No,0,2866610,Low
CL0232,45,Female,27,Mazda Demio,2020,Personal,28088,Mombasa,No,0,605228,Low
CL0233,42,Female,20,Mazda Demio,2014,Commercial,30670,Kakamega,Yes,1,3779269,Medium
CL0234,22,Female,2,Subaru Impreza,2017,Commercial,19017,Mombasa,Yes,4,3189784,High
CL0235,59,Female,40,Subaru Forester,2015,Commercial,21700,Kakamega,Yes,1,2639686,Medium
CL0236,53,Male,34,Honda Fit,2018,Personal,36588,Nakuru,Yes,2,4261675,High
CL0237,63,Male,43,Nissan Note,2021,PSV,44832,Kakamega,Yes,1,3117703,Medium
CL0238,41,Male,19,Subaru Impreza,2007,Personal,11007,Mombasa,No,0,1100530,Low
CL0239,27,Female,9,Subaru Forester,2006,Commercial,11435,Kakamega,No,0,2164221,Low
CL0240,39,Female,18,Toyota Hiace,2008,Personal,17491,Eldoret,Yes,1,1283066,Medium
CL0241,29,Female,6,Honda Fit,2021,PSV,18073,Nakuru,Yes,1,4441237,Medium
CL0242,43,Female,23,Toyota Hiace,2022,Personal,12353,Nakuru,No,0,4076511,Low
CL0243,29,Male,8,Honda Fit,2007,Commercial,31427,Kisumu,No,0,2435740,Low
CL0244,46,Female,26,Toyota Premio,2005,Personal,17813,Mombasa,No,0,3677326,Low
CL0245,68,Male,48,Mazda Demio,2006,Commercial,36029,Nairobi,No,0,4927036,Low
CL0246,52,Male,30,Toyota Hiace,2013,Commercial,26422,Thika,Yes,1,1886652,Medium
CL0247,49,Female,30,Mazda Demio,2019,Personal,23261,Nakuru,Yes,4,1420597,High
CL0248,34,Female,11,Toyota Hiace,2016,Personal,38087,Eldoret,No,0,3481467,Low
CL0249,64,Female,42,Honda Fit,2010,PSV,44450,Kisumu,No,0,3840216,Low
CL0250,18,Male,0,Nissan Note,2010,PSV,29982,Eldoret,Yes,1,1419484,Medium
CL0251,66,Female,48,Mazda Demio,2016,Commercial,36385,Eldoret,No,0,4061963,Low
CL0252,25,Male,4,Toyota Hiace,2018,Personal,15776,Kisumu,No,0,2942266,Low
CL0253,69,Female,45,Isuzu NQR,2007,Personal,27343,Kakamega,No,0,4477019,Low
CL0254,37,Female,14,Toyota Vitz,2019,Personal,13224,Thika,No,0,1018349,Low
CL0255,61,Female,40,Honda Fit,2008,Personal,18712,Mombasa,No,0,4497615,Low
CL0256,39,Female,16,Subaru Forester,2006,PSV,26967,Thika,Yes,2,1109996,High
CL0257,35,Female,12,Toyota Premio,2022,Personal,27773,Kisumu,No,0,888590,Low
CL0258,49,Male,29,Mazda Demio,2017,PSV,30581,Thika,No,0,2889383,Low
CL0259,68,Female,50,Subaru Impreza,2021,Personal,49499,Thika,No,0,1936536,Low
CL0260,32,Male,9,Nissan Note,2005,PSV,18905,Nakuru,Yes,2,2278599,High
CL0261,19,Male,1,Toyota Vitz,2005,PSV,28333,Nairobi,Yes,3,1768300,High
CL0262,56,Male,37,Subaru Impreza,2010,PSV,33398,Nairobi,No,0,550861,Low
CL0263,32,Male,13,Toyota Hiace,2014,Commercial,19078,Kisumu,Yes,4,2491083,High
CL0264,20,Female,0,Honda Fit,2010,PSV,28440,Eldoret,No,0,3357733,Low
CL0265,48,Male,30,Toyota Hiace,2022,Commercial,35291,Mombasa,No,0,864359,Low
CL0266,37,Female,14,Toyota Prado,2019,Commercial,34826,Nakuru,Yes,3,600734,High
CL0267,39,Male,20,Subaru Impreza,2007,PSV,31288,Kakamega,Yes,4,1432817,High
CL0268,29,Female,7,Isuzu NQR,2017,Commercial,27650,Kisumu,Yes,1,2492825,Medium
CL0269,63,Male,42,Mazda Demio,2017,Commercial,28311,Kisumu,No,0,3674108,Low
CL0270,49,Female,29,Nissan Note,2016,PSV,30049,Nakuru,No,0,2440369,Low
CL0271,54,Female,36,Isuzu NQR,2007,PSV,24025,Nakuru,No,0,4441106,Low
CL0272,46,Female,23,Toyota Hiace,2019,PSV,43120,Kakamega,No,0,3114150,Low
CL0273,47,Male,25,Toyota Prado,2009,Commercial,22803,Eldoret,No,0,4688891,Low
CL0274,37,Male,16,Honda Fit,2022,Personal,25282,Kisumu,No,0,2863999,Low
CL0275,51,Female,30,Honda Fit,2006,PSV,36958,Thika,No,0,1836737,Low
CL0276,56,Male,37,Toyota Hiace,2016,Personal,43297,Mombasa,No,0,3510087,Low
CL0277,50,Female,30,Subaru Impreza,2012,PSV,36723,Nairobi,No,0,4062223,Low
CL0278,59,Female,38,Toyota Premio,2018,Commercial,32861,Mombasa,Yes,1,4350241,Medium
CL0279,22,Female,0,Nissan Note,2017,Personal,14648,Eldoret,No,0,3609244,Low
CL0280,56,Female,38,Isuzu NQR,2006,Commercial,13814,Thika,Yes,1,2460826,Medium
CL0281,45,Female,26,Subaru Impreza,2007,PSV,23760,Kakamega,No,0,652999,Low
CL0282,53,Female,31,Isuzu NQR,2019,Commercial,49198,Thika,Yes,3,4353321,High
CL0283,33,Female,14,Toyota Vitz,2014,Personal,21083,Nakuru,Yes,2,3757181,High
CL0284,37,Male,17,Toyota Prado,2016,Commercial,33040,Thika,Yes,1,2968152,Medium
CL0285,37,Female,16,Toyota Prado,2015,Commercial,16116,Nairobi,No,0,1826283,Low
CL0286,66,Female,45,Subaru Impreza,2019,Commercial,11742,Thika,No,0,3777419,Low
CL0287,37,Male,18,Toyota Hiace,2018,Personal,26001,Thika,No,0,3343940,Low
CL0288,46,Female,28,Toyota Premio,2007,Personal,30677,Kisumu,No,0,1886980,Low
CL0289,22,Male,4,Mazda Demio,2021,PSV,43997,Kisumu,Yes,2,3540267,High
CL0290,67,Female,47,Nissan Note,2015,Personal,10125,Nakuru,Yes,1,3248385,Medium
